candidate_id,source_signal_id,timestamp_jst,active_primary_action,candidate_type,candidate_status,side,entry_mode,entry_price,entry_zone_low,entry_zone_high,stop_loss,tp1,tp2,rr_current_tp1,rr_current_tp2,rr_zone_mid_tp1,rr_zone_mid_tp2,market_entry_status,limit_entry_status,counter_scalp_status,breakout_status,active_subject_label,active_headline,next_condition
20260707_050500:long:counter_scalp,20260707_050500,2026-07-07T14:05:00.501045+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,63069.0,62771.54,62895.66,62504.81,63261.03,63622.7,0.34,0.98,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,772-62,896 へ押し、15分足で反発継続なら候補"
20260707_050500:short:limit_retest,20260707_050500,2026-07-07T14:05:00.501045+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,63084.0,63048.44,63119.56,63386.29,62691.02,62358.5,1.19,2.24,1.3,2.4,blocked,allowed,blocked,watch,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,048-63,120 へ戻り、15分足で再失速するなら候補"
20260707_060500:long:counter_scalp,20260707_060500,2026-07-07T15:05:00.706209+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,63095.1,63079.0,63184.4,62794.03,63570.67,63942.11,1.58,2.81,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,079-63,184 へ押し、15分足で反発継続なら候補"
20260707_060500:short:limit_retest,20260707_060500,2026-07-07T15:05:00.706209+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,63084.0,63046.0,63122.0,63406.97,62664.14,62308.87,1.38,2.52,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,046-63,122 へ戻り、15分足で再失速するなら候補"
20260707_090500:long:counter_scalp,20260707_090500,2026-07-07T18:05:00.781940+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,63074.0,62721.91,62840.09,62474.45,63179.51,63516.72,0.18,0.74,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,722-62,840 へ押し、15分足で反発継続なら候補"
20260707_090500:short:limit_retest,20260707_090500,2026-07-07T18:05:00.781940+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,63084.0,63051.01,63116.99,63364.45,62719.42,62410.92,1.22,2.28,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,051-63,117 へ戻り、15分足で再失速するなら候補"
20260707_100500:long:limit_retest,20260707_100500,2026-07-07T19:05:00.170832+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,long,limit,63234.9,63203.28,63266.52,62968.2,63581.61,63874.98,1.38,2.52,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,203-63,267 へ押し、15分足で反発継続なら候補"
20260707_100500:short:counter_scalp,20260707_100500,2026-07-07T19:05:00.170832+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,short,conditional,63226.1,63167.1,63297.83,63532.91,62841.88,62511.39,1.25,2.33,1.3,2.4,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,167-63,298 へ戻り、15分足で再失速するなら候補"
20260707_110500:long:limit_retest,20260707_110500,2026-07-07T20:05:00.969186+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,long,limit,63234.9,63203.28,63266.52,62981.23,63564.67,63843.7,1.1,2.11,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,203-63,267 へ押し、15分足で反発継続なら候補"
20260707_110500:short:counter_scalp,20260707_110500,2026-07-07T20:05:00.969186+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,short,conditional,63258.7,63167.1,63297.83,63519.88,62858.83,62542.68,1.53,2.74,1.3,2.4,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,167-63,298 へ戻り、15分足で再失速するなら候補"
20260707_120500:long:limit_retest,20260707_120500,2026-07-07T21:05:00.013666+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,long,limit,63234.9,63203.28,63266.52,62977.93,63568.96,63851.63,0.48,1.18,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,203-63,267 へ押し、15分足で反発継続なら候補"
20260707_120500:short:counter_scalp,20260707_120500,2026-07-07T21:05:00.013666+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,short,conditional,63377.8,63389.49,63479.62,63704.97,63083.01,62785.55,0.9,1.81,1.3,2.4,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,389-63,480 へ戻り、15分足で再失速するなら候補"
20260707_130501:short:limit_retest,20260707_130501,2026-07-07T22:05:01.085622+09:00,ACTIVE_LIMIT_RETEST,limit_retest,allowed,short,limit,63434.55,63385.95,63483.15,63747.55,63027.65,62683.34,1.43,2.6,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち,下方向優勢。ただし成行ショート不可。戻り売り待ち。,"63,386-63,483 へ戻り、15分足で再失速するなら候補"
20260707_140500:long:counter_scalp,20260707_140500,2026-07-07T23:05:00.397678+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,63023.2,62920.92,63003.88,62609.79,63420.79,63809.42,0.96,1.9,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,921-63,004 へ押し、15分足で反発継続なら候補"
20260707_140500:short:limit_retest,20260707_140500,2026-07-07T23:05:00.397678+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,63084.0,63042.52,63125.48,63436.61,62625.61,62237.75,0.96,1.9,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,043-63,125 へ戻り、15分足で再失速するなら候補"
20260707_160500:long:limit_retest,20260707_160500,2026-07-08T01:05:00.004139+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,long,limit,63755.0,63698.83,63811.17,63277.54,64375.69,64900.89,0.74,1.57,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,699-63,811 へ押し、15分足で反発継続なら候補"
20260707_160500:short:counter_scalp,20260707_160500,2026-07-08T01:05:00.004139+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,short,conditional,63910.0,63794.73,64042.07,64463.36,63209.96,62610.51,1.27,2.35,1.3,2.4,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,795-64,042 へ戻り、15分足で再失速するなら候補"
20260707_170500:long:limit_retest,20260707_170500,2026-07-08T02:05:00.834327+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,long,limit,63986.1,63932.29,64039.91,63528.7,64580.72,65083.85,1.43,2.59,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,932-64,040 へ押し、15分足で反発継続なら候補"
20260707_170500:short:counter_scalp,20260707_170500,2026-07-08T02:05:00.834327+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,short,conditional,63962.4,63797.09,64039.71,64443.3,63236.03,62658.65,1.51,2.71,1.3,2.4,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,797-64,040 へ戻り、15分足で再失速するなら候補"
20260707_180500:long:limit_retest,20260707_180500,2026-07-08T03:05:00.027127+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,long,limit,63986.1,63937.27,64034.93,63571.04,64525.68,64982.26,0.61,1.38,1.3,2.4,blocked,allowed,blocked,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"63,937-64,035 へ押し、15分足で反発継続なら候補"
20260707_180500:short:counter_scalp,20260707_180500,2026-07-08T03:05:00.027127+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,short,conditional,64164.7,64179.57,64371.83,64738.06,63674.63,63166.02,0.85,1.74,1.3,2.4,blocked,allowed,conditional,blocked,押し目買い待ち・短期反落注意,上方向優勢。ただし成行ロング不可。押し目買い待ち。現値は短期反落帯。,"64,180-64,372 へ戻り、15分足で再失速するなら候補"
20260707_190500:long:counter_scalp,20260707_190500,2026-07-08T04:05:00.610803+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,63654.2,63514.16,63677.24,63144.11,64182.77,64679.52,1.04,2.01,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,514-63,677 へ押し、15分足で反発継続なら候補"
20260707_190500:short:limit_retest,20260707_190500,2026-07-08T04:05:00.610803+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,63918.4,63801.56,64035.24,64405.29,63285.44,62749.86,0.49,1.2,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,802-64,035 へ戻り、15分足で再失速するなら候補"
20260707_200500:long:counter_scalp,20260707_200500,2026-07-08T05:05:00.882455+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,63791.8,63707.04,63916.16,63347.33,64415.16,64925.86,1.4,2.55,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,707-63,916 へ押し、15分足で反発継続なら候補"
20260707_200500:short:limit_retest,20260707_200500,2026-07-08T05:05:00.882455+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,63918.4,63802.94,64033.86,64393.57,63300.67,62777.98,0.82,1.68,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,803-64,034 へ戻り、15分足で再失速するなら候補"
20260707_210500:long:counter_scalp,20260707_210500,2026-07-08T06:05:00.045596+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,63668.4,63521.1,63605.9,63203.1,64032.01,64428.45,0.78,1.63,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,521-63,606 へ押し、15分足で反発継続なら候補"
20260707_210500:short:limit_retest,20260707_210500,2026-07-08T06:05:00.045596+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,63918.4,63808.5,64028.3,64346.3,63362.14,62891.45,0.45,1.15,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,808-64,028 へ戻り、15分足で再失速するなら候補"
20260707_220500:long:counter_scalp,20260707_220500,2026-07-08T07:05:00.055881+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,63397.7,63309.89,63396.71,62984.3,63833.01,64238.91,1.05,2.03,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,310-63,397 へ押し、15分足で反発継続なら候補"
20260707_220500:short:limit_retest,20260707_220500,2026-07-08T07:05:00.055881+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,63417.95,63344.59,63491.31,63816.9,62899.31,62460.46,1.19,2.24,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,345-63,491 へ戻り、15分足で再失速するなら候補"
20260708_000500:long:counter_scalp,20260708_000500,2026-07-08T09:05:00.677297+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,63331.7,63314.58,63392.02,63024.18,63781.16,64143.19,1.46,2.64,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,315-63,392 へ押し、15分足で反発継続なら候補"
20260708_000500:short:limit_retest,20260708_000500,2026-07-08T09:05:00.677297+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,63417.95,63349.28,63486.62,63777.02,62951.16,62556.18,0.85,1.74,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,349-63,487 へ戻り、15分足で再失速するなら候補"
20260708_020501:long:counter_scalp,20260708_020501,2026-07-08T11:05:01.009613+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,63003.7,62917.68,63007.12,62582.29,63456.55,63874.68,1.07,2.07,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,918-63,007 へ押し、15分足で反発継続なら候補"
20260708_020501:short:limit_retest,20260708_020501,2026-07-08T11:05:01.009613+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,63084.0,63039.28,63128.72,63464.11,62589.85,62171.72,0.9,1.81,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"63,039-63,129 へ戻り、15分足で再失速するなら候補"
20260708_030500:long:counter_scalp,20260708_030500,2026-07-08T12:05:00.818311+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,62949.7,62916.01,63008.79,62568.07,63475.03,63908.79,1.38,2.51,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,916-63,009 へ押し、15分足で反発継続なら候補"
20260708_030500:short:limit_retest,20260708_030500,2026-07-08T12:05:00.818311+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,62903.0,62809.61,62996.39,63344.33,62329.27,61843.81,1.57,2.8,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,810-62,996 へ戻り、15分足で再失速するなら候補"
20260708_040500:long:counter_scalp,20260708_040500,2026-07-08T13:05:00.138485+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,62740.0,62712.33,62797.47,62393.05,63225.31,63623.34,1.4,2.55,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,712-62,797 へ押し、15分足で反発継続なら候補"
20260708_040500:short:limit_retest,20260708_040500,2026-07-08T13:05:00.138485+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,62903.0,62813.43,62992.57,63311.85,62371.49,61921.76,0.64,1.43,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,813-62,993 へ戻り、15分足で再失速するなら候補"
20260708_050500:long:counter_scalp,20260708_050500,2026-07-08T14:05:00.665514+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,62769.3,62715.96,62793.84,62423.94,63185.15,63549.21,1.2,2.26,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,716-62,794 へ押し、15分足で反発継続なら候補"
20260708_050500:short:limit_retest,20260708_050500,2026-07-08T14:05:00.665514+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,62903.0,62817.06,62988.94,63280.96,62411.65,61995.89,0.7,1.51,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,817-62,989 へ戻り、15分足で再失速するなら候補"
20260708_060500:long:counter_scalp,20260708_060500,2026-07-08T15:05:00.098843+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,62613.8,62606.8,62702.3,62334.56,63070.53,63422.52,1.64,2.9,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,607-62,702 へ押し、15分足で反発継続なら候補"
20260708_060500:short:limit_retest,20260708_060500,2026-07-08T15:05:00.098843+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,62903.0,62819.7,62986.3,63258.54,62440.8,62049.71,0.27,0.87,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,820-62,986 へ戻り、15分足で再失速するなら候補"
20260708_070500:long:counter_scalp,20260708_070500,2026-07-08T16:05:00.931946+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,62628.4,62607.06,62702.04,62336.79,63067.63,63417.16,1.51,2.7,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,607-62,702 へ押し、15分足で反発継続なら候補"
20260708_070500:short:limit_retest,20260708_070500,2026-07-08T16:05:00.931946+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,62903.0,62819.96,62986.04,63256.31,62443.7,62055.07,0.29,0.91,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,820-62,986 へ戻り、15分足で再失速するなら候補"
20260708_080500:long:counter_scalp,20260708_080500,2026-07-08T17:05:00.532514+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,62854.1,62720.87,62788.93,62465.63,63130.95,63449.14,0.71,1.53,1.3,2.4,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,721-62,789 へ押し、15分足で反発継続なら候補"
20260708_080500:short:limit_retest,20260708_080500,2026-07-08T17:05:00.532514+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,62903.0,62821.97,62984.03,63239.27,62465.85,62095.96,1.01,1.97,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,822-62,984 へ戻り、15分足で再失速するなら候補"
20260708_090500:long:counter_scalp,20260708_090500,2026-07-08T18:05:00.945529+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,counter_scalp,conditional,long,conditional,61989.8,61834.51,61925.49,61493.32,62382.68,62810.51,0.79,1.65,1.3,2.41,blocked,allowed,conditional,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"61,835-61,925 へ押し、15分足で反発継続なら候補"
20260708_090500:short:limit_retest,20260708_090500,2026-07-08T18:05:00.945529+09:00,ACTIVE_LIMIT_RETEST+ACTIVE_COUNTER_SCALP,limit_retest,allowed,short,limit,62179.0,62133.51,62224.49,62565.68,61676.32,61250.98,0.54,1.28,1.3,2.4,blocked,allowed,blocked,blocked,戻り売り待ち・短期反発注意,下方向優勢。ただし成行ショート不可。戻り売り待ち。現値は短期反発帯。,"62,134-62,224 へ戻り、15分足で再失速するなら候補"
